text,model_prediction,prediction_score,true_label
excellent in this price,praise,0.9130481481552124,praise
nice but central motor body is small,complaint,0.7578355669975281,praise
its awesome its best to fhd tv,praise,0.5852921605110168,praise
best ever experience,praise,0.9625970721244812,praise
good service of installation by kent and on time delivery by flipkart thanks flipkart and kent,praise,0.9401391744613647,praise
nice comfortable pents,praise,0.883048415184021,praise
everything is good,praise,0.965765118598938,praise
excellent gift for kids,praise,0.8337831497192383,praise
wow such a nice plazzo cloth is very nice comfortable and cotton i loved this product i am satisfied and happy for this plazzo,praise,0.9629417061805725,praise
i swear it is the best speaker in the market in this surprising price mivi is doing great the made in india is paving a way forwards for a greater challenge in the market i have previously bought a portrnic speaker in the very high range of 1900 and i can surely say with confidence this speaker is best than that of 1900 go for it,praise,0.7606092095375061,praise
best part is it has remote access and it looks like small brother of boat aavante bar 1198 which i am already using for last 2 years,praise,0.8599681854248047,praise
good product and service,praise,0.9825517535209656,praise
its a worst product from flipkartplease dont buy it it supports only hd,complaint,0.6716452240943909,complaint
not good bought it for office use after two months the shoe sole broke in middle not at all good not recommended,complaint,0.8529842495918274,complaint
the quality of the wheel is not up to the markget broken in within 15 days,complaint,0.5469217300415039,complaint
sound quality not good,complaint,0.8243125677108765,complaint
still installation not completed,complaint,0.541171133518219,complaint
after 1 month of usage pump stopped working,complaint,0.7201175093650818,complaint
this is waste this is damage skating shoe,complaint,0.8404650092124939,complaint
quality is ok but size is a little bit small all over product is ok specially the packaging is too good,complaint,0.5717248916625977,suggestion
pathetic experience the clock stopped working in two days,complaint,0.898926317691803,complaint
quality is very poor not working properly,complaint,0.8602055907249451,complaint
very poor quality,complaint,0.7821802496910095,complaint
it was good but not good in winters this blanket is like as ac blanket,complaint,0.5681068301200867,complaint
my personal suggestion must buy worthy product,suggestion,0.6881346702575684,
very lite weight,complaint,0.4280460774898529,inquiry
connecting issues reboot pictures,suggestion,0.6019160151481628,complaint
go for it it look good value for money it change colour when you tap,suggestion,0.5540377497673035,suggestion
product is jerseyif u want buy jersey cloth u can buy,suggestion,0.47108960151672363,suggestion
you can use it for reading and watching,suggestion,0.6297877430915833,suggestion
one is little with loose cap,suggestion,0.4634900987148285,complaint
very small in sizephoto shown enlarge but in actual very small in size,complaint,0.43179261684417725,complaint
just buy and feel the power of mac,suggestion,0.7307392358779907,praise
original one go for it,suggestion,0.635866641998291,suggestion
only grey color is good dont buy blackcolor bcoz it is loosing black each time when i wash itits irritating to get lot of black color in each timesince 3 weeks i buy im still getting the black colorso better buy grey colorand size and fitting are good,complaint,0.47234514355659485,suggestion
stop working nowi have purchased it in january 2020,complaint,0.45411616563796997,complaint
size of each type of item is a bit smaller than the usual or normal size what i have been using,complaint,0.3695003092288971,complaint
working but will know after one year,inquiry,0.6102389693260193,inquiry
quantity is less,complaint,0.45936429500579834,inquiry
the product of the lakme is always no1 and one should purchase the same,praise,0.6448315382003784,praise
ok but costly product small office use emergency only not commercial use,complaint,0.45888155698776245,suggestion
ink dried within a month i did only 10 printout,complaint,0.3324476182460785,complaint
some parts damaged but ok,inquiry,0.47446462512016296,inquiry
jeeves technician not good i buy 43 inch tv wall mount the technician is very bad installation but tv is very good,complaint,0.8436806201934814,complaint
fan is nice but light weight,praise,0.5555152297019958,suggestion
consfm reception is poorpronshigh sound qualityaverage bass speedy bluetooth connectivity,praise,0.4548752009868622,complaint
good product excellent sound and features,praise,0.9757524728775024,praise
product quality was poor,complaint,0.8482558727264404,complaint
nice product am happy with this product thanks for asus and flipkart for giving me this product less money,praise,0.9545358419418335,praise
average quality and very small size,complaint,0.6808882355690002,praise
